metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1710765727,1.000000,,x509: certificate has expired or is not yet valid: current time 2024-03-18T18:12:07+05:30 is after 2022-09-29T08:09:25Z,1000,false,,GET,https://test-api.com/,,default,,0,,,https://test-api.com/,,
http_req_duration,1710765727,0.000000,,x509: certificate has expired or is not yet valid: current time 2024-03-18T18:12:07+05:30 is after 2022-09-29T08:09:25Z,1000,false,,GET,https://test-api.com/,,default,,0,,,https://test-api.com/,,
http_req_blocked,1710765727,0.000000,,x509: certificate has expired or is not yet valid: current time 2024-03-18T18:12:07+05:30 is after 2022-09-29T08:09:25Z,1000,false,,GET,https://test-api.com/,,default,,0,,,https://test-api.com/,,
http_req_connecting,1710765727,204.183379,,x509: certificate has expired or is not yet valid: current time 2024-03-18T18:12:07+05:30 is after 2022-09-29T08:09:25Z,1000,false,,GET,https://test-api.com/,,default,,0,,,https://test-api.com/,,
http_req_tls_handshaking,1710765727,0.000000,,x509: certificate has expired or is not yet valid: current time 2024-03-18T18:12:07+05:30 is after 2022-09-29T08:09:25Z,1000,false,,GET,https://test-api.com/,,default,,0,,,https://test-api.com/,,
http_req_sending,1710765727,0.000000,,x509: certificate has expired or is not yet valid: current time 2024-03-18T18:12:07+05:30 is after 2022-09-29T08:09:25Z,1000,false,,GET,https://test-api.com/,,default,,0,,,https://test-api.com/,,
http_req_waiting,1710765727,0.000000,,x509: certificate has expired or is not yet valid: current time 2024-03-18T18:12:07+05:30 is after 2022-09-29T08:09:25Z,1000,false,,GET,https://test-api.com/,,default,,0,,,https://test-api.com/,,
http_req_receiving,1710765727,0.000000,,x509: certificate has expired or is not yet valid: current time 2024-03-18T18:12:07+05:30 is after 2022-09-29T08:09:25Z,1000,false,,GET,https://test-api.com/,,default,,0,,,https://test-api.com/,,
http_req_failed,1710765727,1.000000,,x509: certificate has expired or is not yet valid: current time 2024-03-18T18:12:07+05:30 is after 2022-09-29T08:09:25Z,1000,false,,GET,https://test-api.com/,,default,,0,,,https://test-api.com/,,
vus,1710765728,1.000000,,,,,,,,,,,,,,,,
vus_max,1710765728,1.000000,,,,,,,,,,,,,,,,
data_sent,1710765728,312.000000,,,,,,,,,default,,,,,,,
data_received,1710765728,4096.000000,,,,,,,,,default,,,,,,,
iteration_duration,1710765728,1545.993001,,,,,,,,,default,,,,,,,
iterations,1710765728,1.000000,,,,,,,,,default,,,,,,,
